Ordem,EOL,TIPO DE U.E,NOME,DRE,SIGLA/LOTE,E-MAIL,ENDEREÇO,Nº,BAIRRO,endereco_completo,CEP,TELEFONE,TELEFONE2,EMPRESA,COD. CODAE,TIPO_UE2
311,95141,EMEF,VICENTINA RIBEIRO DA LUZ,ITAQUERA,IQ,emefvicentina@prefeitura.sp.gov.br,RUA AILTON NEGRAO FAZZIO,59,PARQUE SANTO EDUARDO,"RUA AILTON NEGRAO FAZZIO, 59 - PARQUE SANTO EDUARDO",3384020,27245658,27273892,Apetece Sistemas de Alimentação Ltda,10040,EMEF
312,95150,EMEF,ROQUETTE PINTO,ITAQUERA,IQ,EMEFROQUETTEPINTO@PREFEITURA.SP.GOV.BR,RUA PROFESSORA ALZIRA DE OLIVEIRA GILIOLI,32,JARDIM NICE,"RUA PROFESSORA ALZIRA DE OLIVEIRA GILIOLI, 32 - JARDIM NICE",3905090,22163864,29161022,Apetece Sistemas de Alimentação Ltda,10038,EMEF
313,95168,EMEF,"ACHILLES DE OLIVEIRA RIBEIRO, DES.",SÃO MATEUS,SM II,emefaoribeiro@prefeitura.sp.gov.br,RUA SAO JOAO DO PARAISO,57,JARDIM IMPERADOR,"RUA SAO JOAO DO PARAISO, 57 - JARDIM IMPERADOR",3934000,27214225,,Comercial Milano Brasil LTDA,11335,EMEF
314,95176,EMEF,JOSE LINS DO REGO,SÃO MATEUS,SM II,EMEFJOSELINS@HOTMAIL.COM,RUA AUGUSTO FERREIRA RAMOS,54,JARDIM NOVE DE JULHO,"RUA AUGUSTO FERREIRA RAMOS, 54 - JARDIM NOVE DE JULHO",3947030,20192099,29194320,Comercial Milano Brasil LTDA,11340,EMEF
315,95184,EMEF,SERGIO MILLIET,ITAQUERA,IQ,emefsergiomilliet@prefeitura.sp.gov.br,RUA DOUTOR PAULO DE ANDRADE ARANTES,125,PARQUE MARIA LUIZA,"RUA DOUTOR PAULO DE ANDRADE ARANTES, 125 - PARQUE MARIA LUIZA",3451090,27833463,,Apetece Sistemas de Alimentação Ltda,10039,EMEF
316,95192,EMEF,GUIMARAES ROSA,ITAQUERA,IQ,emefguimaraesrosa@prefeitura.sp.gov.br,PRACA HAROLDO DALTRO,466,VILA NOVA MANCHESTER,"PRACA HAROLDO DALTRO, 466 - VILA NOVA MANCHESTER",3444090,20937068,22954174,Apetece Sistemas de Alimentação Ltda,7166,EMEF
317,95290,EMEF,"JOAO CARLOS DA SILVA BORGES, PROF.",IPIRANGA,IP I,emefjcsborges@prefeitura.sp.gov.br,ALAMEDA DOS TUPINIQUINS,1473,PLANALTO PAULISTA,"ALAMEDA DOS TUPINIQUINS, 1473 - PLANALTO PAULISTA",4077003,55369846,50443772,Singular Gestão de Serviços Ltda,7175,EMEF
318,95303,EMEF,"MANOEL DE PAIVA, PE.",IPIRANGA,IP I,emefmpaiva@prefeitura.sp.gov.br,RUA PROFESSOR SERAFIM ORLANDI,254,JARDIM VILA MARIANA,"RUA PROFESSOR SERAFIM ORLANDI, 254 - JARDIM VILA MARIANA",4115090,55719959,55733877,Singular Gestão de Serviços Ltda,7181,EMEF
319,95311,EMEF,JEAN MERMOZ,IPIRANGA,IP I,emefjmermoz@prefeitura.sp.gov.br,RUA CORREIA DE LEMOS,30,CHACARA INGLESA,"RUA CORREIA DE LEMOS, 30 - CHACARA INGLESA",4140000,22759920,,Singular Gestão de Serviços Ltda,7174,EMEF
320,95320,EMEF,IRINEU MARINHO,IPIRANGA,IP I,EMEFIMARINHO@PREFEITURA.SP.GOV.BR,RUA JACARAIPE,478,QUINTA DA PAINEIRA,"RUA JACARAIPE, 478 - QUINTA DA PAINEIRA",3152150,23411196,23417191,Singular Gestão de Serviços Ltda,8442,EMEF
321,95338,EMEF,"RUTH LOPES ANDRADE, PROFA.",IPIRANGA,IP I,emefrlandrade@prefeitura.sp.gov.br,RUA JUNDIAPEBA,177,VILA ZELINA,"RUA JUNDIAPEBA, 177 - VILA ZELINA",3143050,23413992,23412821,Singular Gestão de Serviços Ltda,7204,EMEF
322,95346,EMEF,"QUEIROZ FILHO, PROF.",IPIRANGA,IP I,emefqfilho@prefeitura.sp.gov.br,RUA FERNANDES SARDINHA,222,VILA BELA,"RUA FERNANDES SARDINHA, 222 - VILA BELA",3147020,29170052,29175130,Singular Gestão de Serviços Ltda,7205,EMEF
323,95354,EMEF,"OSORIO, GEN.",IPIRANGA,IP I,emefosorio@prefeitura.sp.gov.br,RUA ARARIPE,317,VILA CALIFORNIA,"RUA ARARIPE, 317 - VILA CALIFORNIA",3215010,29171033,29175377,Singular Gestão de Serviços Ltda,7206,EMEF
324,95362,EMEF,"MAUA, BARÃO DE",PENHA,PE II,emefmaua@prefeitura.sp.gov.br,RUA MADRID,550,PARQUE SEVILHA,"RUA MADRID, 550 - PARQUE SEVILHA",3157010,20283737,29650431,Apetece Sistemas de Alimentação Ltda,7169,EMEF
325,95371,EMEF,CLEOMENES CAMPOS,IPIRANGA,IP I,emefccampos@prefeitura.sp.gov.br,RUA BARTOLOMEU CORREA BUENO,268,JARDIM TEREZA,"RUA BARTOLOMEU CORREA BUENO, 268 - JARDIM TEREZA",3261040,21543259,21544528,Singular Gestão de Serviços Ltda,7207,EMEF
326,95389,EMEF,"AUREA RIBEIRO XAVIER LOPES, PROFA.",IPIRANGA,IP I,emefarxlopes@prefeitura.sp.gov.br,RUA CARMINHA,103,PARQUE SAO LUCAS,"RUA CARMINHA, 103 - PARQUE SAO LUCAS",3240040,21540602,21543281,Singular Gestão de Serviços Ltda,7182,EMEF
327,95397,EMEF,"MARLENE RONDELLI, PROFA.",IPIRANGA,IP I,emefmrondelli@prefeitura.sp.gov.br,RUA ACÁCIO CARISTO,21,PARQUE TOMAS SARAIVA,"RUA ACÁCIO CARISTO, 21 - PARQUE TOMAS SARAIVA",3280110,22110825,29114924,Singular Gestão de Serviços Ltda,7183,EMEF
328,95401,EMEF,"PRUDENTE DE MORAIS, PRES.",IPIRANGA,IP I,emefpmorais@prefeitura.sp.gov.br,RUA JUIZ DE FORA,980,VILA EMA,"RUA JUIZ DE FORA, 980 - VILA EMA",3286000,21540339,,Singular Gestão de Serviços Ltda,7184,EMEF
329,95419,EMEF,"MASCARENHAS DE MORAES, MAL.",IPIRANGA,IP I,emefmmoraes@prefeitura.sp.gov.br,RUA DOUTOR CAMILO HADDAD,234,VILA ANADIR,"RUA DOUTOR CAMILO HADDAD, 234 - VILA ANADIR",3266000,23010895,,Singular Gestão de Serviços Ltda,7186,EMEF
330,95427,EMEF,ALVARES DE AZEVEDO,IPIRANGA,IP I,emefalazevedo@prefeitura.sp.gov.br,RUA ALCACUZ,130,JARDIM PANORAMA ZONA LESTE,"RUA ALCACUZ, 130 - JARDIM PANORAMA ZONA LESTE",3245010,21540344,,Singular Gestão de Serviços Ltda,7187,EMEF
331,95435,EMEF,ALTINO ARANTES,IPIRANGA,IP I,emefaarantes@prefeitura.sp.gov.br,RUA CORONEL AUGUSTO CELSO DE MOURA,78,VILA ELZE,"RUA CORONEL AUGUSTO CELSO DE MOURA, 78 - VILA ELZE",3256000,21431117,21431488,Singular Gestão de Serviços Ltda,7185,EMEF
332,95443,EMEF,"HENRIQUE MELEGA, PROF.",SÃO MATEUS,SM II,emefhmelega@prefeitura.sp.gov.br,RUA CHIQUINHA GONZAGA,349,VILA PRIMAVERA,"RUA CHIQUINHA GONZAGA, 349 - VILA PRIMAVERA",3389050,21541099,21543256,Comercial Milano Brasil LTDA,7188,EMEF
333,95451,EMEF,"TAUNAY, VISC. DE",SÃO MATEUS,SM II,emeftaunay@prefeitura.sp.gov.br,ESTRADA CASA GRANDE,566,VILA CUNHA BUENO,"ESTRADA CASA GRANDE, 566 - VILA CUNHA BUENO",3260000,21433744,,Comercial Milano Brasil LTDA,7189,EMEF
334,95460,EMEF,EMILIO RIBAS,SÃO MATEUS,SM II,emeferibas@prefeitura.sp.gov.br,RUA JOSE JOAQUIM,302,JARDIM AMARO,"RUA JOSE JOAQUIM, 302 - JARDIM AMARO",3272000,21431444,,Comercial Milano Brasil LTDA,7190,EMEF
335,95478,EMEF,"FLORES DA CUNHA, DEP.",SÃO MATEUS,SM II,emeffcunha@prefeitura.sp.gov.br,RUA GENERAL PORFIRIO DA PAZ,1663,JARDIM GRIMALDI,"RUA GENERAL PORFIRIO DA PAZ, 1663 - JARDIM GRIMALDI",3918000,27020091,27032016,Comercial Milano Brasil LTDA,7191,EMEF
336,95494,EMEF,ARMANDO DE SALLES OLIVEIRA,SÃO MATEUS,SM II,emefasoliveira@prefeitura.sp.gov.br,RUA MILTON DA CRUZ,659,JARDIM PLANALTO,"RUA MILTON DA CRUZ, 659 - JARDIM PLANALTO",3983080,27031844,,Comercial Milano Brasil LTDA,7192,EMEF
337,95508,EMEF,BRASILIO MACHADO NETO,SÃO MATEUS,SM II,emefbmeto@prefeitura.sp.gov.br,RUA ALMIRANTE OTACILIO CUNHA,325,PARQUE SANTA MADALENA,"RUA ALMIRANTE OTACILIO CUNHA, 325 - PARQUE SANTA MADALENA",3982190,27020429,27032184,Comercial Milano Brasil LTDA,7193,EMEF
338,95516,EMEF,HERALDO BARBUY,SÃO MATEUS,SM II,emefhbarbuy@prefeitura.sp.gov.br,RUA CRISTOVAO DE VASCONCELOS,86,JARDIM ADUTORA,"RUA CRISTOVAO DE VASCONCELOS, 86 - JARDIM ADUTORA",3978000,27035411,27038410,Comercial Milano Brasil LTDA,7194,EMEF
339,95524,EMEF,VINICIUS DE MORAES,SÃO MATEUS,SM II,EMEFVMORAES@PREFEITURA.SP.GOV.BR,RUA BRAS PIRES,345,JARDIM TIETE,"RUA BRAS PIRES, 345 - JARDIM TIETE",3943090,27026333,,Comercial Milano Brasil LTDA,7195,EMEF
340,95532,EMEF,RODRIGUES DE CARVALHO,SÃO MATEUS,SM II,EMEFRCARVALHO@PREFEITURA.SP.GOV.BR,RUA SARGENTO EDGARD LOURENCO PINTO,40,COHAB MARECHAL MASCARENHAS DE MORAIS,"RUA SARGENTO EDGARD LOURENCO PINTO, 40 - COHAB MARECHAL MASCARENHAS DE MORAIS",3977180,29191113,20192277,Comercial Milano Brasil LTDA,7196,EMEF
341,95541,EMEF,OLIVAL COSTA,SÃO MATEUS,SM II,emefocosta@prefeitura.sp.gov.br,AVENIDA JOAO RODRIGUES RUIZ,248,JD SAPOPEMBA,"AVENIDA JOAO RODRIGUES RUIZ, 248 - JD SAPOPEMBA",3975110,20153187,,Comercial Milano Brasil LTDA,7197,EMEF
342,95559,EMEF,CLAUDIO MANOEL DA COSTA,SÃO MATEUS,SM I,emefcmcosta@prefeitura.sp.gov.br,AVENIDA RODOLFO PIRANI,224,JARDIM RODOLFO PIRANI,"AVENIDA RODOLFO PIRANI, 224 - JARDIM RODOLFO PIRANI",8310000,27512312,27513202,SHA Comércio de Alimentos Ltda,11333,EMEF
343,95567,EMEF,ALCEU AMOROSO LIMA,SÃO MATEUS,SM I,emefamoroso@prefeitura.sp.gov.br,RUA CARMEM TORTOLA,26,CONJ PROMORAR RIO CLARO,"RUA CARMEM TORTOLA, 26 - CONJ PROMORAR RIO CLARO",8395330,27513507,27512919,SHA Comércio de Alimentos Ltda,11331,EMEF
344,95575,EMEF,CIDADE DE OSAKA,SÃO MATEUS,SM I,emefcidosaka@prefeitur.sp.gov.br,AVENIDA BARONESA DE MURITIBA,55,PARQUE SAO RAFAEL,"AVENIDA BARONESA DE MURITIBA, 55 - PARQUE SAO RAFAEL",8311080,20153201,29191505,SHA Comércio de Alimentos Ltda,11332,EMEF
345,95583,EMEF,"GREGORIO WESTRUPP, PE.",SÃO MATEUS,SM II,EMEFGWESTRUPP@PREFEITURA.SP.GOV.BR,RUA ESQUIVEL NAVARRO,10,CONJUNTO HABITACIONAL TEOTONIO VILELA,"RUA ESQUIVEL NAVARRO, 10 - CONJUNTO HABITACIONAL TEOTONIO VILELA",3928130,27043623,27020885,Comercial Milano Brasil LTDA,7198,EMEF
346,95591,EMEF,"IVETE VARGAS, DEP.",SÃO MATEUS,SM II,emefivargas@prefeitura.sp.gov.br,RUA CARLO CLAUSETTI,300,COHAB TEOTONIO VILELA,"RUA CARLO CLAUSETTI, 300 - COHAB TEOTONIO VILELA",3928220,27044334,,Comercial Milano Brasil LTDA,7199,EMEF
347,95605,EMEF,"VILANOVA ARTIGAS, ARQ.",SÃO MATEUS,SM II,emefvartigas@prefeitura.sp.gov.br,RUA GUARANTA,S/N,PARQUE DOS BANCARIOS,"RUA GUARANTA, S/N - PARQUE DOS BANCARIOS",3924120,21433431,27035946,Comercial Milano Brasil LTDA,7200,EMEF
348,95613,EMEF,PAULO DUARTE,SÃO MATEUS,SM II,emefpauloduarte@prefeitura.sp.gov.br,AVENIDA ARQUITETO VILANOVA ARTIGAS,583,CONJUNTO HABITACIONAL TEOTONIO VILELA,"AVENIDA ARQUITETO VILANOVA ARTIGAS, 583 - CONJUNTO HABITACIONAL TEOTONIO VILELA",3928240,27047060,,Comercial Milano Brasil LTDA,7201,EMEF
349,97055,EMEF,"JUSCELINO KUBITSCHEK DE OLIVEIRA, PRES.",GUAIANASES,G,emefjkoliveira@prefeitura.sp.gov.br,RUA JORGE MARACCINI POMFILIO,60,COHAB JUSCELINO,"RUA JORGE MARACCINI POMFILIO, 60 - COHAB JUSCELINO",8465050,25554153,25555752,Apetece Sistemas de Alimentação Ltda,6972,EMEF
350,97063,EMEF,ANTONIO PEREIRA IGNACIO,GUAIANASES,G,emefapignacio@prefeitura.sp.gov.br,RUA SARA KUBITSCHECK,186,COHAB CASTRO ALVES,"RUA SARA KUBITSCHECK, 186 - COHAB CASTRO ALVES",8474000,22825021,,Apetece Sistemas de Alimentação Ltda,6976,EMEF
351,97705,EMEF,AURELIANO LEITE,GUAIANASES,G,emefaleite@prefeitura.sp.gov.br,RUA JOSE FRANCISCO BRANDAO,370,CIDADE TIRADENTES,"RUA JOSE FRANCISCO BRANDAO, 370 - CIDADE TIRADENTES",8470790,29648191,29648045,Apetece Sistemas de Alimentação Ltda,6973,EMEF
352,97713,EMEF,"JOSE PEDRO LEITE CORDEIRO, DR.",SÃO MIGUEL,MP II,emefjplcordeiro@prefeitura.sp.gov.br,RUA DESEMBARGADOR FERNANDO DE ALBUQUERQUE PRADO,250,CIDADE KEMEL,"RUA DESEMBARGADOR FERNANDO DE ALBUQUERQUE PRADO, 250 - CIDADE KEMEL",8130110,25677752,,Singular Gestão de Serviços Ltda,7006,EMEF
353,97721,EMEF,"JOSE AUGUSTO CESAR SALGADO, DR.",GUAIANASES,G,emefjacsalgado@prefeitura.sp.gov.br,RUA DOS TEXTEIS,2907,CIDADE TIRADENTES,"RUA DOS TEXTEIS, 2907 - CIDADE TIRADENTES",8490600,29648345,22822126,Apetece Sistemas de Alimentação Ltda,6975,EMEF
354,99091,EMEF,HIPOLITO JOSE DA COSTA,JAÇANÃ / TREMEMBÉ,JT,EMEFHJCOSTA@PREFEITURA.SP.GOV.BR,RUA AUGUSTO RODRIGUES,272,JARDIM FONTALIS,"RUA AUGUSTO RODRIGUES, 272 - JARDIM FONTALIS",2360010,29928011,29956693,SHA Comércio de Alimentos Ltda,7126,EMEF
355,99121,CEU EMEF,"DOMINGOS RUBINO, PROF.",SÃO MATEUS,SM II,emefdrubino@prefeitura.sp.gov.br,RUA CLARA PETRELA,113,JARDIM SAO ROBERTO,"RUA CLARA PETRELA, 113 - JARDIM SAO ROBERTO",3978520,27012325,27012326,Comercial Milano Brasil LTDA,7202,EMEF
356,99139,EMEF,VIRGILIO DE MELLO FRANCO,SÃO MIGUEL,MP I,emefvmfranco@prefeitura.sp.gov.br,RUA ERVA DO SERENO,15,JARDIM MAIA,"RUA ERVA DO SERENO, 15 - JARDIM MAIA",8180010,25815031,25865590,Singular Gestão de Serviços Ltda,7023,EMEF
357,99325,EMEF,"BENEDITO MONTENEGRO, PROF.",SÃO MATEUS,SM I,EMEFBMONTENEGRO@PREFEITURA.SP.GOV.BR,AVENIDA RAGUEB CHOHFI,4046,JARDIM TRÊS MARIAS,"AVENIDA RAGUEB CHOHFI, 4046 - JARDIM TRÊS MARIAS",8375000,27315764,,SHA Comércio de Alimentos Ltda,11345,EMEF
358,99651,EMEF,JOSE HONORIO RODRIGUES,SÃO MIGUEL,MP II,emefjhrodrigues@prefeitura.sp.gov.br,RUA DO POMBO CORREIO,50,ITAIM PAULISTA,"RUA DO POMBO CORREIO, 50 - ITAIM PAULISTA",8160142,25620150,25674803,Singular Gestão de Serviços Ltda,7024,EMEF
359,99660,EMEF,"AMELIA, IMP. DA.",SÃO MATEUS,SM II,emefamelia@prefeitura.sp.gov.br,AVENIDA TENENTE LAURO SODRE,235,JARDIM SANTA ADELIA,"AVENIDA TENENTE LAURO SODRE, 235 - JARDIM SANTA ADELIA",3974050,20190033,20196771,Comercial Milano Brasil LTDA,11337,EMEF
360,99678,EMEF,"MALLET, MAL.",ITAQUERA,IQ,emefmallet@prefeitura.sp.gov.br,RUA GENERAL MOREIRA COUTO,72,JARDIM SAO PEDRO,"RUA GENERAL MOREIRA COUTO, 72 - JARDIM SAO PEDRO",8420730,25576956,25578564,Apetece Sistemas de Alimentação Ltda,6984,EMEF
361,99783,EMEF,GERALDO SESSO JUNIOR,FREGUÊSIA / BRASILÂNDIA,FO,emefgsesso@prefeitura.sp.gov.br,RUA JOSÉ SIQUEIRA BRITO,123,BRASILÂNDIA,"RUA JOSÉ SIQUEIRA BRITO, 123 - BRASILÂNDIA",2845160,39212339,39214669,SHA Comércio de Alimentos Ltda,7079,EMEF
362,99791,EMEF,PLINIO SALGADO,CAPELA DO SOCORRO,CS,emefpsalgado@prefeitura.sp.gov.br,RUA CLARISSA,S/N,JARDIM EDI,"RUA CLARISSA, S/N - JARDIM EDI",4851070,55280925,59336221,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,6928,EMEF
363,99792,EMEF,FORTE DOS REIS MAGOS,SÃO MATEUS,SM I,emeffortereismagos@prefeitura.sp.gov.br,RUA FORTE DOS REIS MAGOS,46,JARDIM RODOLFO PIRANI,"RUA FORTE DOS REIS MAGOS, 46 - JARDIM RODOLFO PIRANI",8310430,27515319,,SHA Comércio de Alimentos Ltda,12911,EMEF
364,200042,CIEJA,CENTRO INT ED JOVENS E ADULTOS - ERMELINO MATARAZZO,PENHA,PE I,AVENIDA PARANAGUÁ,ERMELINO MATARAZZO,1954,"AVENIDA UTARO KANAI, 202 - CONJUNTO HABITACIONAL JUSCELINO KUBITSCH",3806000,25461603,25477188,,Apetece Sistemas de Alimentação Ltda,9189,CIEJA
365,200043,CIEJA,CENTRO INT ED JOVENS E ADULTOS - IGUATEMI I,SÃO MATEUS,SM I,AVENIDA RAGUEB CHOHFI,PARQUE BOA ESPERANCA,3773,"RUA CONTO DE AREIA, 69 - CONJUNTO HABITACIONAL CASTRO ALVES",8341420,20598918,20598858,,SHA Comércio de Alimentos Ltda,12975,CIEJA
366,200050,CIEJA,CENTRO INT ED JOVENS E ADULTOS - VILA PRUDENTE/SAPOPEMBA,SÃO MATEUS,SM II,RUA SARGENTO LUIS RODRIGUES FILHO,CONJ HAB MARECHAL MASCARENHAS DE MORAI,40,"RUA JOSE OITICICA, 113 - JARDIM ITAPEMA",3977360,29192069,,,Comercial Milano Brasil LTDA,9124,CIEJA
367,200077,CIEJA,CENTRO INT ED JOVENS E ADULTOS - ITAQUERA,ITAQUERA,IQ,AVENIDA ITAQUERA,CIDADE LIDER,221,"RUA ERNESTO MANOGRASSO, 340 - CIDADE SÃO MATEUS",8285060,27419801,27464683,,Apetece Sistemas de Alimentação Ltda,9166,CIEJA
368,200085,CIEJA,CENTRO INT ED JOVENS E ADULTOS - SE (CAMBUCI),IPIRANGA,IP I,RUA CESÁRIO RAMALHO,CAMBUCI,111,"RUA FABIO JOSE BEZERRA, 643 - PARQUE BOTURUSSU",1521000,33994213,,,Singular Gestão de Serviços Ltda,9846,CIEJA
369,200140,CIEJA,"MARLUCIA GONCALVES DE ABREU, PROFESSORA",SÃO MATEUS,SM II,AVENIDA MATEO BEI,SÃO MATEUS,1651,"RUA MARIA JOVITA DA CONCEICAO, 258 - JARDIM BELÉM",3949011,20171272,,,Comercial Milano Brasil LTDA,11352,CIEJA
370,200166,CIEJA,CLOVIS CAITANO MIQUELAZZO - IPIRANGA,IPIRANGA,IP I,RUA FRANCOIS BUNEL,PARQUE BRISTOL,250,"RUA ARROJADO LISBOA, 217 - JARDIM COTINHA",4193310,23342400,23342300,,Singular Gestão de Serviços Ltda,10551,CIEJA
371,200184,CEU GESTÃO,ARICANDUVA - PROFESSORA IRENE GALVAO DE SOUZA,ITAQUERA,IQ,smeceuaricanduva@prefeitura.sp.gov.br,AVENIDA OLGA FADEL ABARCA,S/N,JARDIM SANTA TEREZINHA (ZONA LESTE),"AVENIDA OLGA FADEL ABARCA, S/N - JARDIM SANTA TEREZINHA (ZONA LESTE)",3572020,2723-7549,2723-7543,Apetece Sistemas de Alimentação Ltda,,CEU GESTÃO
372,200186,CEU GESTÃO,CIDADE DUTRA,CAPELA DO SOCORRO,CS,smeceucdedutra@prefeitura.sp.gov.br,AVENIDA INTERLAGOS,7350,INTERLAGOS,"AVENIDA INTERLAGOS, 7350 - INTERLAGOS",4777000,5668-1953,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,,CEU GESTÃO
373,200187,CEU GESTÃO,INACIO MONTEIRO,GUAIANASES,G,smeceuinaciomonteiro@prefeitura.sp.gov.br,RUA BARAO BARROSO DO AMAZONAS,S/N,COHAB INACIO MONTEIRO,"RUA BARAO BARROSO DO AMAZONAS, S/N - COHAB INACIO MONTEIRO",8472721,6518-9043,,Apetece Sistemas de Alimentação Ltda,,CEU GESTÃO
374,200188,CEU GESTÃO,JAMBEIRO,GUAIANASES,G,smeceujambeiro@prefeitura.sp.gov.br,AVENIDA JOSE PINHEIRO BORGES,60,JARDIM MORENO,"AVENIDA JOSE PINHEIRO BORGES, 60 - JARDIM MORENO",8430810,6960-2055,6960-2059,Apetece Sistemas de Alimentação Ltda,,CEU GESTÃO
375,200189,CEU GESTÃO,MENINOS - ARTUR ALBERTO DE MOTA GONCALVES PROF PR,IPIRANGA,IP II,smeceumeninos@prefeitura.sp.gov.br,RUA BARBINOS,S/N,SAO JOAO CLIMACO,"RUA BARBINOS, S/N - SAO JOAO CLIMACO",4240110,2945-2561,,Singular Gestão de Serviços Ltda,,CEU GESTÃO
376,200190,CEU GESTÃO,NAVEGANTES - PROF. JOSE EVERARDO RODRIGUES COSME,CAPELA DO SOCORRO,CS,smeceunavegantes@prefeitura.sp.gov.br,RUA MARIA MOASSAB BARBOUR,S/N,PARQUE RESIDENCIAL COCAIA,"RUA MARIA MOASSAB BARBOUR, S/N - PARQUE RESIDENCIAL COCAIA",4849330,5976-5527,5976-5530,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,,CEU GESTÃO
377,200191,CEU GESTÃO,PARQUE SAO CARLOS,SÃO MIGUEL,MP I,smeceupqsaocarlos@prefeitura.sp.gov.br,RUA CLAREAR,141,JARDIM SÃO CARLOS (ZONA LESTE),"RUA CLAREAR, 141 - JARDIM SÃO CARLOS (ZONA LESTE)",8062590,2045-4247,,Singular Gestão de Serviços Ltda,,CEU GESTÃO
378,200192,CEU GESTÃO,PARQUE VEREDAS – JOÃO ANTONIO DA SILVA,SÃO MIGUEL,MP II,smeceupqveredas@prefeitura.sp.gov.br,RUA DANIEL MULLER,347,CHÁCARA DONA OLÍVIA,"RUA DANIEL MULLER, 347 - CHÁCARA DONA OLÍVIA",8141290,2563-6247,2563-6247,Singular Gestão de Serviços Ltda,,CEU GESTÃO
379,200195,CEU GESTÃO,SAO MATEUS,SÃO MATEUS,SM I,smeceusaomateus@prefeitura.sp.gov.br,RUA CURUMATIM,201,PQ BOA ESPERANÇA,"RUA CURUMATIM, 201 - PQ BOA ESPERANÇA",8341240,6732-8157,,SHA Comércio de Alimentos Ltda,,CEU GESTÃO
380,200196,CEU GESTÃO,SAO RAFAEL,SÃO MATEUS,SM I,smeceusaorafael@prefeitura.sp.gov.br,RUA CINIRA POLONIO,100,CONJUNTO PROMORAR RIO CLARO,"RUA CINIRA POLONIO, 100 - CONJUNTO PROMORAR RIO CLARO",8395320,2752-1042,,SHA Comércio de Alimentos Ltda,,CEU GESTÃO
381,200197,CEU GESTÃO,TRES LAGOS,CAPELA DO SOCORRO,CS,smeceutreslagos@prefeitura.sp.gov.br,ESTRADA DO BARRO BRANCO,S/N,JARDIM NORONHA,"ESTRADA DO BARRO BRANCO, S/N - JARDIM NORONHA",4853015,5976-5642,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,,CEU GESTÃO
382,200199,CEU GESTÃO,VILA CURUCA,SÃO MIGUEL,MP II,smeceuvlcuruca@prefeitura.sp.gov.br,AVENIDA MARECHAL TITO,3400,JARDIM MIRAGAIA,"AVENIDA MARECHAL TITO, 3400 - JARDIM MIRAGAIA",8115000,2563-6150,2563-6148,Singular Gestão de Serviços Ltda,,CEU GESTÃO
383,200200,CEU GESTÃO,ROSA DA CHINA,SÃO MATEUS,SM II,smeceurosachina@prefeitura.sp.gov.br,RUA CLARA PETRELA,113,JARDIM SAO ROBERTO,"RUA CLARA PETRELA, 113 - JARDIM SAO ROBERTO",3978500,2701-2356,,Comercial Milano Brasil LTDA,,CEU GESTÃO
384,200202,CEU GESTÃO,PAZ,FREGUÊSIA / BRASILÂNDIA,FO,smeceupaz@prefeitura.sp.gov.br,RUA DA PAZ,7,JARDIM PARANA,"RUA DA PAZ, 07 - JARDIM PARANA",,3986-3404,,SHA Comércio de Alimentos Ltda,,CEU GESTÃO
385,200237,CEU GESTÃO,AGUA AZUL,GUAIANASES,G,smeceuaguaazul@prefeitura.sp.gov.br,AVENIDA DOS METALÚRGICOS,1262,CIDADE TIRADENTES,"AVENIDA DOS METALÚRGICOS, 1262 - CIDADE TIRADENTES",8471000,6282-7157,,Apetece Sistemas de Alimentação Ltda,,CEU GESTÃO
386,200238,CEU GESTÃO,AZUL DA COR DO MAR,ITAQUERA,IQ,smeceuazuldacordomar@prefeitura.sp.gov.br,AVENIDA ERNESTO SOUSA CRUZ,2171,CIDADE ANTÔNIO ESTEVÃO DE CARVALHO,"AVENIDA ERNESTO SOUSA CRUZ, 2171 - CIDADE ANTÔNIO ESTEVÃO DE CARVALHO",8225380,6142-2843,,Apetece Sistemas de Alimentação Ltda,,CEU GESTÃO
387,200240,CEU GESTÃO,VILA RUBI - JORNALISTA ALEXANDRE KADUNC,CAPELA DO SOCORRO,CS,ceuvilarubi@prefeitura.sp.gov.br,RUA DOMINGOS TARROSO,101,VILA RUBI,"RUA DOMINGOS TARROSO, 101 - VILA RUBI",4823090,5662-6512,,P.R.M. SERVIÇOS E MÃO DE OBRA ESPECIALIZADA EIRELI,,CEU GESTÃO
388,200241,CEU GESTÃO,JACANA,JAÇANÃ / TREMEMBÉ,JT,smeceujacana@prefeitura.sp.gov.br,AVENIDA ANTONIO CESAR NETO,105,GUAPIRA,"AVENIDA ANTONIO CESAR NETO, 105 - GUAPIRA",2276000,3397-3950,,SHA Comércio de Alimentos Ltda,,CEU GESTÃO
389,200246,CEU GESTÃO,JARDIM PAULISTANO,FREGUÊSIA / BRASILÂNDIA,FO,ceujardimpaulistano@prefeitura.sp.gov.br,RUA APARECIDA DO TABOADO,S/N,JARDIM PAULISTANO (ZONA NORTE),"RUA APARECIDA DO TABOADO, S/N - JARDIM PAULISTANO (ZONA NORTE)",2814000,,,SHA Comércio de Alimentos Ltda,,CEU GESTÃO
